Model,Accuracy,Precision,Recall,F1,ROC_AUC,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC
Logistic Regression,0.7316106906338694,0.3108389184192281,0.7610694581977648,0.4413996800262542,0.8196209890719812,,,,,
Decision Tree,0.6978476821192053,0.2842517628623661,0.7698401471212336,0.4151979858091096,0.8011051699632019,,,,,
Random Forest,0.7300536108483129,0.3108192977447901,0.7701230725703777,0.4428896843475431,0.8229610507638796,,,,,
Gradient Boosting,0.7221499526963103,0.3069230769230769,0.7902107794596124,0.4421227591119553,0.8265929467489592,,,,,
Logistic Regression (Tuned),0.7315515610217597,0.31076318678144316,0.7609279954731928,0.4412995323652473,0.8196312779769492,0.7318964837590666,0.31177919164336326,0.7653568895259889,0.4430634296680808,0.8232491550813924
Decision Tree (Tuned),0.7084713024282561,0.29206161137440756,0.7671523553543641,0.42306042048601633,0.7932033055258291,0.7127335619678336,0.2931690898248043,0.7524489386637371,0.42194131647495436,0.7893974551595218
Random Forest (Tuned),0.7926324503311258,0.35978878960194965,0.6265384071297213,0.457092729242995,0.8207859905077789,0.7976929596341847,0.36741431302365285,0.6261269138562319,0.4630684922188615,0.8243907629306544
Gradient Boosting (Tuned),0.7223864711447493,0.30712557730371676,0.7902107794596124,0.4423328186245397,0.8267513297980427,0.7231600835698518,0.30832852816088313,0.7936836408053951,0.44411587342826225,0.8306997977424384
