Model,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression (Tuned),0.7318964837590666,0.31177919164336326,0.7653568895259889,0.4430634296680808,0.8232491550813924,0.7315515610217597,0.31076318678144316,0.7609279954731928,0.4412995323652473,0.8196312779769492
Decision Tree (Tuned),0.7127335619678336,0.2931690898248043,0.7524489386637371,0.42194131647495436,0.7893974551595218,0.7084713024282561,0.29206161137440756,0.7671523553543641,0.42306042048601633,0.7932033055258291
Random Forest (Tuned),0.7976929596341847,0.36741431302365285,0.6261269138562319,0.4630684922188615,0.8243907629306544,0.7926324503311258,0.35978878960194965,0.6265384071297213,0.457092729242995,0.8207859905077789
Gradient Boosting (Tuned),0.7231600835698518,0.30832852816088313,0.7936836408053951,0.44411587342826225,0.8306997977424384,0.7223864711447493,0.30712557730371676,0.7902107794596124,0.4423328186245397,0.8267513297980427
