Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.7316106906338694,0.3108389184192281,0.7610694581977648,0.44139968002625424,0.8196209890719812
Decision Tree,0.6978476821192053,0.28425176286236614,0.7698401471212336,0.41519798580910966,0.8011051699632019
