Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.7316106906338694,0.3108389184192281,0.7610694581977648,0.4413996800262542,0.8196209890719812
Decision Tree,0.6978476821192053,0.2842517628623661,0.7698401471212336,0.4151979858091096,0.8011051699632019
Random Forest,0.7300536108483129,0.31081929774479017,0.7701230725703777,0.4428896843475431,0.8229610507638796
Gradient Boosting,0.7221499526963103,0.3069230769230769,0.7902107794596124,0.44212275911195537,0.8265929467489592
